symbol,Date,Open,High,Low,Close,Adj Close,Volume
GOOGL,4/3/19,57.728001,58.276001,56.912498,57.671001,57.671001,35490000
GOOGL,5/3/19,57.799999,58.824501,57.651001,58.459499,58.459499,40094000
GOOGL,6/3/19,58.588001,58.737,58.1525,58.247002,58.247002,23602000
GOOGL,7/3/19,58.025002,58.179001,57.085499,57.5425,57.5425,30086000
GOOGL,8/3/19,56.695,57.672501,56.509998,57.498501,57.498501,23694000
GOOGL,11/3/19,57.599998,58.995499,57.578499,58.963001,58.963001,30032000
GOOGL,12/3/19,59.115002,60.2855,59.115002,59.862499,59.862499,42220000
GOOGL,13/3/19,60.296501,60.355999,59.8955,59.952999,59.952999,25888000
GOOGL,14/3/19,59.951,60.235001,59.561501,59.626499,59.626499,27302000
GOOGL,15/3/19,59.900002,60.085999,59.350498,59.514999,59.514999,51886000
GOOGL,18/3/19,59.484501,59.747501,59.074001,59.427502,59.427502,24442000
GOOGL,19/3/19,59.585999,60.170502,59.473,60.123001,60.123001,29788000
GOOGL,20/3/19,60.07,61.4995,59.9795,61.321499,61.321499,41508000
GOOGL,21/3/19,61,61.821999,60.828999,61.806499,61.806499,28150000
GOOGL,22/3/19,61.442501,61.681499,60.299999,60.3825,60.3825,34422000
GOOGL,25/3/19,59.978001,60.472,59.5,59.868999,59.868999,27576000
GOOGL,26/3/19,60.259499,60.3825,59.088001,59.492001,59.492001,30752000
GOOGL,27/3/19,59.596001,59.596001,58.211498,58.900501,58.900501,29428000
GOOGL,28/3/19,58.775002,58.862499,58.171501,58.613499,58.613499,22402000
GOOGL,29/3/19,59.008999,59.198502,58.319,58.844501,58.844501,30890000
GOOGL,1/4/19,59.376999,60.009998,59.318001,59.949001,59.949001,27706000
GOOGL,2/4/19,60.002499,60.290501,59.562,60.277,60.277,18288000
GOOGL,3/4/19,60.634998,61.029999,60.254002,60.540501,60.540501,22180000
GOOGL,4/4/19,60.564499,61.0275,60.452,60.9725,60.9725,21022000
GOOGL,5/4/19,60.965,61.019501,60.501499,60.572498,60.572498,20012000
GOOGL,8/4/19,60.5555,60.697498,60.235001,60.414001,60.414001,21750000
GOOGL,9/4/19,60.094501,60.357498,59.918999,60.134499,60.134499,19668000
GOOGL,10/4/19,60.254501,60.446999,60.033001,60.322498,60.322498,15510000
GOOGL,11/4/19,60.445,60.637001,60.227001,60.4795,60.4795,16998000
GOOGL,12/4/19,60.780998,61.1525,60.664501,61.136501,61.136501,24312000
GOOGL,15/4/19,61.204498,61.465,60.728001,61.3265,61.3265,23796000
GOOGL,16/4/19,61.5,61.799,61.251999,61.595501,61.595501,22622000
GOOGL,17/4/19,61.849998,62.255001,61.645,62.007,62.007,30366000
GOOGL,18/4/19,62.25,62.297001,61.970501,62.073502,62.073502,24750000
GOOGL,22/4/19,61.8335,62.716999,61.668499,62.688,62.688,19084000
GOOGL,23/4/19,62.832001,63.7215,62.598499,63.529499,63.529499,31868000
GOOGL,24/4/19,63.529499,63.700001,62.990501,63.002499,63.002499,23396000
GOOGL,25/4/19,63.514999,63.639999,62.900002,63.367001,63.367001,31344000
GOOGL,26/4/19,63.668999,63.945499,63.25,63.870998,63.870998,27228000
GOOGL,29/4/19,64.025497,64.848503,63.585499,64.809998,64.809998,72368000
GOOGL,30/4/19,59.531502,60.049,59.150002,59.948002,59.948002,133178000
GOOGL,1/5/19,59.875,59.962502,58.584,58.666,58.666,74340000
GOOGL,2/5/19,58.630001,58.969002,57.9165,58.3255,58.3255,45098000
GOOGL,3/5/19,58.870499,59.57,58.677502,59.477501,59.477501,41588000
GOOGL,6/5/19,58.599998,59.7715,58.557999,59.673,59.673,31774000
GOOGL,7/5/19,59.290501,59.738499,58.25,58.943001,58.943001,36604000
GOOGL,8/5/19,58.864498,59.213501,58.3815,58.539001,58.539001,25520000
GOOGL,9/5/19,58.130001,58.703499,57.731998,58.398499,58.398499,29556000
GOOGL,10/5/19,58.442001,58.813999,57.318501,58.382,58.382,31650000
GOOGL,13/5/19,57.262001,57.598499,56.275002,56.829498,56.829498,45626000
GOOGL,14/5/19,57.116001,57.2435,56.176498,56.243,56.243,40392000
GOOGL,15/5/19,56.127499,58.915001,56.07,58.540001,58.540001,59302000
GOOGL,16/5/19,58.591999,59.708,58.422501,59.224998,59.224998,35308000
GOOGL,17/5/19,58.7915,59.314499,58.320999,58.438999,58.438999,25362000
GOOGL,20/5/19,57.650002,57.650002,56.907001,57.233002,57.233002,30602000
GOOGL,21/5/19,57.723999,57.900002,57.165501,57.722,57.722,20562000
GOOGL,22/5/19,57.5625,58.188999,57.549999,57.7925,57.7925,18826000
GOOGL,23/5/19,57.303501,57.502499,56.658001,57.266998,57.266998,25214000
GOOGL,24/5/19,57.599998,57.717999,56.835499,56.9305,56.9305,18554000
GOOGL,28/5/19,57.074001,57.824501,56.933498,56.978001,56.978001,20948000
GOOGL,29/5/19,56.634998,56.75,55.5975,55.997002,55.997002,36230000
GOOGL,30/5/19,56.0075,56.34,55.794998,56.070499,56.070499,18088000
GOOGL,31/5/19,55.282001,55.669998,55.1675,55.325001,55.325001,31582000
GOOGL,3/6/19,53.3465,53.349998,51.351501,51.937,51.937,96890000
GOOGL,4/6/19,52.224499,52.922001,51.801498,52.724499,52.724499,60512000
GOOGL,5/6/19,52.75,52.8405,51.650002,52.231998,52.231998,46988000
GOOGL,6/6/19,52.310501,52.5,51.775501,52.388,52.388,29020000
GOOGL,7/6/19,52.714001,53.671501,52.557499,53.418499,53.418499,43828000
GOOGL,10/6/19,53.849998,54.742001,53.764,54.138,54.138,28510000
GOOGL,11/6/19,54.849499,55.2005,53.9785,54.051998,54.051998,33508000
GOOGL,12/6/19,53.997501,54.125999,53.48,53.955002,53.955002,23670000
GOOGL,13/6/19,54.2355,54.829498,54.128502,54.550499,54.550499,20814000
GOOGL,14/6/19,54.487,54.737999,54.074001,54.314999,54.314999,24582000
GOOGL,17/6/19,54.455002,55.063999,54.400002,54.6945,54.6945,19770000
GOOGL,18/6/19,55.575001,55.938999,55.039501,55.262001,55.262001,34526000
GOOGL,19/6/19,55.362,55.4715,54.801498,55.225498,55.225498,26714000
GOOGL,20/6/19,56.084999,56.136002,55.349998,55.66,55.66,24018000
GOOGL,21/6/19,55.493,56.328499,55.486,56.268501,56.268501,50774000
GOOGL,24/6/19,56,56.178501,55.665501,55.834999,55.834999,24236000
GOOGL,25/6/19,55.754002,55.785,54.23,54.379002,54.379002,31644000
GOOGL,26/6/19,54.549999,54.756001,53.684502,54.015999,54.015999,34698000
GOOGL,27/6/19,54.337502,54.423,53.7925,53.831501,53.831501,24078000
GOOGL,28/6/19,53.8615,54.139999,53.689999,54.139999,54.139999,33672000
GOOGL,1/7/19,55.051998,55.429501,54.766499,55,55,29196000
GOOGL,2/7/19,55.241501,55.644501,54.983501,55.630001,55.630001,20630000
GOOGL,3/7/19,55.924999,56.399502,55.7425,56.149502,56.149502,20154000
GOOGL,5/7/19,55.968498,56.732498,55.875,56.633499,56.633499,29794000
GOOGL,8/7/19,56.293499,56.3605,55.588001,55.8395,55.8395,29888000
GOOGL,9/7/19,55.515999,56.393002,55.357498,56.2145,56.2145,29472000
GOOGL,10/7/19,56.616001,57.117001,56.533001,57.045502,57.045502,30710000
GOOGL,11/7/19,57.307999,57.661999,56.976501,57.203999,57.203999,26004000
GOOGL,12/7/19,57.1465,57.375,56.928001,57.266998,57.266998,21878000
GOOGL,15/7/19,57.266998,57.534,57,57.525501,57.525501,21164000
GOOGL,16/7/19,57.336498,57.929001,57.336498,57.673,57.673,25352000
GOOGL,17/7/19,57.546001,57.922001,57.331001,57.337002,57.337002,19538000
GOOGL,18/7/19,57.099998,57.408501,56.643002,57.362,57.362,25450000
GOOGL,19/7/19,57.466,57.578999,56.5625,56.577499,56.577499,23184000
GOOGL,22/7/19,56.773499,57.000999,56.260502,56.960499,56.960499,28914000
GOOGL,23/7/19,57.172501,57.443001,56.642502,57.4025,57.4025,20648000
